codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2009838;SARIDON CPR BT10;597.0;91;10;52;0;0;1;17;18;
2017542;VIBRA CPR 200MG BT8;4500.0;8;0;0;3;2;5;1;5;
2022158;DIFLUCAN GELU 150MG BT1;4133.0;10;510;0;33;122;112;51;64;
2025263;ZITHROMAX SUSP BUV 200MG 22ML5;3772.0;10;650;3;99;147;83;83;95;
2027204;AURIPAX GTT AURIC FL15ML;820.0;0;1100;0;112;340;201;150;104;
2027374;COLLUXID BAIN BOUCHE FL120ML;630.0;540;480;152;254;198;173;201;219;
2027440;DERMOSALIC LOT 0,05PC FL30ML;682.0;497;700;173;369;322;95;288;301;
2027457;DERMOSALIC POM 30G;1076.0;1115;1300;313;715;689;84;572;548;
2027463;DERMOSONE CREME TB 15G;649.0;449;300;165;384;0;136;183;246;
2027486;DERMOSONE NEO CREME TB15G;649.0;202;1150;180;360;280;183;273;230;
2027492;DERMOSONE NEO POM TB15G;649.0;47;1050;62;340;288;229;230;212;
2027500;DERMOSONE POM TB 15G;649.0;775;800;199;333;311;370;281;323;
2027581;ECOREX 1PC CREM DERM 30G;1397.0;2139;6900;1303;2110;2448;2388;1953;1773;
2027598;ECOREX 1PC SOL PULV 30ML;1751.0;329;590;197;71;217;493;161;224;
2027606;ECOREX 1PC LAIT DERM FL30ML;1397.0;379;850;133;355;317;252;268;235;
2027612;ECOREX OV 150MG BT3;1751.0;190;500;68;203;151;140;140;134;
2028161;MUCOSOL SP AD FL200ML;1102.0;114;192;51;86;101;44;79;68;
2029077;SPORALIM LOTION FL30ML;853.0;5397;12500;1787;3539;3812;3904;3046;3168;
2029284;VAGILEN OV BT10;1148.0;108;162;17;53;56;42;42;48;
2029410;PRUREX CREM 10PC 40G;820.0;0;11000;0;1488;3292;2965;1593;1288;
2031424;CELEBREX GELU 100MG BT20;4342.0;389;640;143;251;225;208;206;207;
2031430;CELEBREX GELU 200MG BT10;4342.0;971;480;190;347;296;254;277;306;
2032122;AMUCHINA 5PC FL250ML;899.0;78;48;14;53;31;34;32;34;
2032145;AMUSTIL 0,5G CREM TB30G;1325.0;181;200;41;63;94;74;66;69;
2032493;CAMYSTEN CREM TB30G;1496.0;18;100;0;2;3;0;1;2;
2033274;GLYSS SUP AD BT1;420.0;3884;2592;946;2075;1939;1887;1653;1688;
2033280;GLYSS SUP BB BT10;348.0;6614;3672;1658;3117;2425;2487;2400;2693;
2192251;XARELTO CPR 15MG BT 14;9183.0;1026;162;131;210;240;248;193;249;
2192297;XARELTO CPR 20MG BT 14;9183.0;2474;648;278;612;560;585;483;600;
2265292;ALLERGOSONE GTT BUV FL30ML;1797.0;219;320;79;98;201;119;126;121;
2268178;TILL SOL EXT FL200ML;892.0;27428;26400;10134;11471;17437;17613;13014;11650;
2472837;SOLFER FORTE GEL BT30;1312.0;212;300;36;126;167;117;109;89;
2472838;WELFIL CPR PELL 10MG BT4;1719.0;130;0;2;4;0;4;2;2;
2472839;WELFIL COMPRIMES PELLICULES 20MG BOITE DE 4;2394.0;39;0;4;3;2;0;3;5;
2473438;DIAPRIDE PLUS CPR 1/500MG BT30;1469.0;180;40;29;49;45;49;41;39;
2474142;AUROMOX PDR 250MG 31MG25 F60ML;2165.0;150;0;11;21;13;5;15;4;
