codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2022589;CATAFLAM CPR 50MG BT20;1863.0;1230;900;120;366;377;425;287;363;
2023927;CATAFLAM CPR 25MG BT20;931.0;894;900;85;286;247;314;206;311;
2477021;CALSOURCE CAL CPR EFF 500MG 20;1168.0;3532;3240;516;1486;1555;1750;1185;1326;
2479845;DOXORUBICINE 10MG/5ML SOL INJ;3628.0;0;10;0;0;0;0;0;0;
2479941;DOLEX SOL INJ IM/IV 75MG 1ML 5;656.0;908;2690;308;676;868;816;617;571;
2480078;TAMOXIFENE NOV ACC 20MG CPR 30;1463.0;0;580;0;0;0;0;0;0;
2480259;GALVUSMET 50/850MG CPR PELL 30;4808.0;1003;656;117;140;381;379;212;205;
2480260;GALVUSMET 50/500MG CPR PELL 30;4808.0;698;1264;160;537;447;479;381;360;
2792962;SIMBRINZA COLLYRE 10MG/ML PLUS2MG/ML FLACON 5ML;0.0;0;0;0;0;10;0;3;0;
3103019;SYNTOCINON 5U AMP 1ML BT3;695.0;0;2800;0;0;0;0;0;0;
3103545;TEGRETOL CPR 200MG BT50;1686.0;3093;1440;266;858;818;1348;647;949;
3132162;OSPEN CPR 1MILLION BT12;1378.0;1577;5040;558;1652;1066;1591;1092;805;
3182800;OTRIVINE GTT 0,05PC F10ML;702.0;884;1980;146;750;656;383;517;501;
3189529;VOLTARENE CPR 25MG BT30;1305.0;0;160;0;6;49;34;18;10;
3221434;VOLTARENE SUP 100MG BT10;1601.0;296;132;31;111;123;86;88;103;
3235117;VOLTARENE CPR 50MG BT30;2598.0;731;480;55;229;188;203;157;234;
3246049;VOLTARENE CPR LP 100MG BT15;2912.0;542;1200;110;370;370;397;283;312;
3298431;TEGRETOL CPR LP 400MG BT30;3057.0;2712;672;607;637;2;234;415;1127;
3314874;TEGRETOL LP 200MG COMPRIME PEL;1699.0;1949;2869;289;1105;925;1063;773;947;
