Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"8181277";"9100001166071";"DISMIGRAS 10MG B/30";"2039";"0";"152";"715";"72";"42";"0";"0";"466";"974";"951"
"8181283";"9100001166081";"DISMIGRAS 20MG B/30";"765";"0";"52";"326";"19";"17";"0";"0";"356";"493";"463"
"9011940";"9100001321441";"DISMIGRAS 5MG B/30";"191";"0";"22";"225";"8";"10";"0";"0";"92";"216";"192"
"1153231";"9100001153231";"LEUTRIEN 10MG CP B/30";"840";"0";"38";"413";"19";"34";"0";"0";"1";"504";"458"
"1262341";"9100001262341";"LEUTRIEN 4MG CP B/30";"159";"0";"19";"107";"11";"4";"0";"0";"113";"136";"149"
"1153221";"9100001153221";"LEUTRIEN 5MG CP B/30";"280";"0";"23";"244";"23";"10";"0";"0";"174";"242";"229"
"8181337";"9100001166121";"PREGASAFE 150MG B/30";"630";"0";"12";"199";"5";"4";"0";"0";"74";"228";"193"
"8181320";"9100001166111";"PREGASAFE 75MG B/30";"0";"0";"270";"1295";"188";"270";"0";"0";"28";"2493";"2288"
"8181314";"9100001166101";"PULMOFIRST 125MG B/10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8181308";"9100001166092";"PULMOFIRST 62,5MG B/10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
