Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"2291042";"9100000424581";"ALLERCET SP FL/100ML";"765";"0";"99";"420";"140";"50";"0";"0";"261";"534";"444"
"2264080";"9100000251921";"ALLERCET 10MG CP/10";"1888";"0";"199";"638";"65";"66";"0";"0";"387";"814";"714"
"2280541";"9100000552201";"AMLONG 10MG CP B/30";"1472";"0";"91";"415";"52";"28";"0";"0";"307";"558";"592"
"2280618";"9100000552191";"AMLONG 5MG CP B/30";"794";"0";"53";"303";"22";"10";"0";"0";"212";"378";"364"
"2287425";"9100000689341";"AMLOZAAR 5MG CP B/30";"342";"0";"1";"100";"6";"0";"0";"0";"49";"109";"103"
"2290901";"9100000490391";"ANGIZAAR H CP B/30";"117";"0";"0";"47";"1";"2";"0";"0";"12";"33";"34"
"2290924";"9100000490411";"ANGIZAAR 50MG CP B/30";"225";"0";"0";"15";"4";"0";"0";"0";"8";"14";"11"
"8111466";"9100000812851";"ARBITEL H 40MG/12,5MG CP B/30";"1160";"0";"61";"330";"48";"16";"0";"0";"240";"407";"399"
"8111472";"9100000812841";"ARBITEL 40MG CP B/30";"581";"0";"33";"161";"17";"6";"0";"0";"108";"188";"165"
"8111489";"9100000812831";"ARBITEL 80MG CP B/30";"373";"0";"20";"65";"15";"1";"0";"0";"63";"105";"113"
"2260018";"9100000552171";"AVAS 10MG CP B/30";"1158";"0";"66";"344";"26";"17";"0";"0";"223";"399";"379"
"2260024";"9100000552181";"AVAS 20MG CP B/30";"1614";"0";"80";"369";"42";"33";"0";"0";"285";"477";"501"
"8145198";"3401081451984";"AVAS 40MG CP B/30";"1447";"0";"10";"48";"6";"0";"0";"0";"23";"0";"0"
"8108205";"9100000779871";"AZILIDE 500 B/3";"1677";"0";"113";"100";"21";"3";"0";"0";"95";"241";"215"
"8109156";"9100000838781";"BACTOCLAV 100MG SUSP F/100ML";"3399";"0";"152";"394";"56";"64";"0";"0";"316";"724";"499"
